PSC;NAZEV;PLATI_OD;PLATI_DO
262 56;Krásná Hora nad Vltavou;01.07.2011 00:00:00;
262 61;Višňová u Příbramě;01.07.2011 00:00:00;
262 62;Dolní Hbity;01.07.2011 00:00:00;
262 63;Kamýk nad Vltavou;01.07.2011 00:00:00;
262 72;Březnice;01.07.2011 00:00:00;
262 81;Tochovice;01.07.2011 00:00:00;
262 84;Zalužany;01.07.2011 00:00:00;
262 85;Drahenice;01.07.2011 00:00:00;
262 91;Kosova Hora;01.07.2011 00:00:00;
262 93;Nalžovice;01.07.2011 00:00:00;
263 01;Dobříš;01.07.2011 00:00:00;
264 01;Sedlčany;01.07.2011 00:00:00;
266 01;Beroun 1;01.07.2011 00:00:00;
267 01;Králův Dvůr u Berouna;01.07.2011 00:00:00;
267 03;Hudlice;01.07.2011 00:00:00;
267 05;Nižbor;01.07.2011 00:00:00;
267 06;Hýskov;01.07.2011 00:00:00;
267 07;Chyňava;01.07.2011 00:00:00;
267 11;Vráž u Berouna;01.07.2011 00:00:00;
267 12;Loděnice u Berouna;01.07.2011 00:00:00;
267 16;Vysoký Újezd u Berouna;01.07.2011 00:00:00;
267 17;Mořina;01.07.2011 00:00:00;
267 18;Karlštejn;01.07.2011 00:00:00;
267 21;Tmaň;01.07.2011 00:00:00;
267 22;Suchomasty;01.07.2011 00:00:00;
267 23;Lochovice;01.07.2011 00:00:00;
267 24;Hostomice pod Brdy;01.07.2011 00:00:00;
267 25;Osov;01.07.2011 00:00:00;
267 26;Všeradice;01.07.2011 00:00:00;
267 27;Liteň;01.07.2011 00:00:00;
267 28;Svinaře;01.07.2011 00:00:00;
267 29;Zadní Třebaň;01.07.2011 00:00:00;
267 41;Kublov;01.07.2011 00:00:00;
267 42;Broumy;01.07.2011 00:00:00;
267 43;Bzová u Hořovic;01.07.2011 00:00:00;
267 51;Zdice;01.07.2011 00:00:00;
267 53;Žebrák;01.07.2011 00:00:00;
267 54;Praskolesy;01.07.2011 00:00:00;
267 61;Cerhovice;01.07.2011 00:00:00;
267 62;Komárov u Hořovic;01.07.2011 00:00:00;
267 63;Zaječov;01.07.2011 00:00:00;
267 64;Olešná u Hořovic;01.07.2011 00:00:00;
268 01;Hořovice;01.07.2011 00:00:00;
269 01;Rakovník 1;01.07.2011 00:00:00;
270 01;Kněževes u Rakovníka;01.07.2011 00:00:00;
270 02;Kolešovice;01.07.2011 00:00:00;
